City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Guerrero Negro,MX,2020-08-05 17:46:23,27.98,-114.06,75.4,61,80,9.66
70,Najran,SA,2020-08-05 17:46:51,17.49,44.13,89.6,31,75,16.11
71,Avarua,CK,2020-08-05 17:46:24,-21.21,-159.78,73.4,100,5,11.41
72,Cidreira,BR,2020-08-05 17:46:58,-30.18,-50.21,66.04,64,0,8.14
73,Baculin,PH,2020-08-05 17:48:15,7.45,126.58,79.11,80,100,3.44
74,Iqaluit,CA,2020-08-05 17:46:33,63.75,-68.51,66.2,63,75,16.11
75,Ponta Do Sol,PT,2020-08-05 17:46:34,32.67,-17.1,75.2,73,40,13.87
76,Saint-Philippe,RE,2020-08-05 17:48:15,-21.36,55.77,66.2,77,71,4.7
77,Mahebourg,MU,2020-08-05 17:46:25,-20.41,57.7,68.0,72,40,11.41
78,Hermanus,ZA,2020-08-05 17:46:17,-34.42,19.23,46.99,89,21,6.31
79,Faanui,PF,2020-08-05 17:47:05,-16.48,-151.75,77.92,82,37,14.9
80,Ribeira Grande,PT,2020-08-05 17:46:34,38.52,-28.7,77.0,61,40,12.75
81,Hasaki,JP,2020-08-05 17:46:42,35.73,140.83,75.0,100,20,3.36
82,Port Moresby,PG,2020-08-05 17:48:16,-9.44,147.18,74.88,91,87,5.35
83,Kashan,IR,2020-08-05 17:48:16,33.98,51.44,88.81,19,0,1.63
84,Sola,VU,2020-08-05 17:47:10,-13.88,167.55,75.87,81,20,17.63
85,Forest,US,2020-08-05 17:48:16,37.36,-79.29,88.0,51,20,3.83
86,Saint George,US,2020-08-05 17:42:00,37.1,-113.58,95.0,14,1,6.93
87,Yellowknife,CA,2020-08-05 17:46:08,62.46,-114.35,64.4,77,75,19.46
88,Kastrakion,GR,2020-08-05 17:48:16,39.72,21.62,70.0,62,40,1.01
89,Hambantota,LK,2020-08-05 17:46:32,6.12,81.12,79.21,85,91,14.83
90,Shimoni,KE,2020-08-05 17:48:16,-4.65,39.38,76.84,78,1,15.3
91,Batagay-Alyta,RU,2020-08-05 17:48:16,67.8,130.41,53.96,68,73,2.77
92,Ouallam,NE,2020-08-05 17:48:16,14.32,2.09,89.91,48,71,12.39
93,Yeppoon,AU,2020-08-05 17:48:17,-23.13,150.73,55.4,93,90,3.51
94,Hay River,CA,2020-08-05 17:48:17,60.82,-115.8,64.4,77,75,13.87
95,Hobart,AU,2020-08-05 17:42:41,-42.88,147.33,44.6,81,75,14.99
96,Bati,ET,2020-08-05 17:48:17,11.18,40.02,70.03,76,94,2.44
97,Kashi,CN,2020-08-05 17:48:17,39.45,75.98,77.0,38,20,2.24
98,Milkovo,RU,2020-08-05 17:48:17,54.72,158.62,46.02,87,44,0.36
99,East London,ZA,2020-08-05 17:46:27,-33.02,27.91,60.73,84,97,15.84
100,Virginia Beach,US,2020-08-05 17:47:01,36.85,-75.98,93.0,52,75,6.93
101,Karasburg,NA,2020-08-05 17:48:17,-28.02,18.75,48.0,52,0,17.49
102,Mahibadhoo,MV,2020-08-05 17:46:54,3.78,72.97,82.83,79,100,15.35
103,Johi,PK,2020-08-05 17:48:17,26.69,67.61,102.22,29,33,3.65
104,Vila Franca Do Campo,PT,2020-08-05 17:46:34,37.72,-25.43,75.2,83,20,12.75
105,Qaanaaq,GL,2020-08-05 17:46:30,77.48,-69.36,36.79,73,0,2.21
106,Oranjemund,NA,2020-08-05 17:48:18,-28.55,16.43,54.01,74,0,11.81
107,Harper,LR,2020-08-05 17:48:18,4.38,-7.72,76.06,69,65,8.99
108,Guymon,US,2020-08-05 17:48:18,36.68,-101.48,75.2,69,1,4.7
109,Verkhovazhye,RU,2020-08-05 17:48:18,60.75,42.05,66.58,72,100,9.35
110,Lebu,CL,2020-08-05 17:46:26,-37.62,-73.65,52.3,66,19,12.19
111,Upernavik,GL,2020-08-05 17:46:35,72.79,-56.15,40.19,70,45,3.33
112,The Valley,AI,2020-08-05 17:45:35,18.22,-63.06,86.0,66,20,12.75
113,New Norfolk,AU,2020-08-05 17:43:29,-42.78,147.06,44.01,79,99,1.99
114,Kedrovyy,RU,2020-08-05 17:48:18,56.17,91.82,53.6,87,60,4.47
115,Norman Wells,CA,2020-08-05 17:46:29,65.28,-126.83,60.8,93,75,9.17
116,Mehamn,NO,2020-08-05 17:48:18,71.04,27.85,48.2,100,90,5.82
117,Cuamba,MZ,2020-08-05 17:46:52,-14.8,36.54,76.77,40,45,5.46
118,Havre-Saint-Pierre,CA,2020-08-05 17:48:19,50.23,-63.6,64.4,82,90,14.99
119,Kaitangata,NZ,2020-08-05 17:46:18,-46.28,169.85,39.99,89,86,3.0
120,Narsaq,GL,2020-08-05 17:46:34,60.92,-46.05,51.8,62,75,6.93
121,Tasiilaq,GL,2020-08-05 17:46:20,65.61,-37.64,44.6,87,75,10.29
122,Anadyr,RU,2020-08-05 17:47:15,64.75,177.48,39.2,86,31,4.47
123,Yilan,TW,2020-08-05 17:46:21,24.76,121.75,82.0,99,98,2.33
124,Wilmington,US,2020-08-05 17:45:30,34.23,-77.94,86.0,69,20,9.1
125,Airai,TL,2020-08-05 17:46:33,-8.93,125.41,55.09,100,97,0.85
126,Lebowakgomo,ZA,2020-08-05 17:48:19,-24.2,29.5,60.8,23,0,3.36
127,Jasper,US,2020-08-05 17:48:19,37.2,-94.35,78.01,57,40,3.36
128,Henties Bay,NA,2020-08-05 17:48:19,-22.12,14.28,57.0,78,0,10.0
129,Tayoltita,MX,2020-08-05 17:48:20,24.08,-105.93,91.99,31,47,2.3
130,Shumskiy,RU,2020-08-05 17:48:20,54.83,99.13,57.6,92,83,3.56
131,Leningradskiy,RU,2020-08-05 17:46:33,69.38,178.42,34.56,93,100,12.5
132,Huarmey,PE,2020-08-05 17:47:18,-10.07,-78.15,66.88,62,45,9.86
133,Sycow,PL,2020-08-05 17:48:20,51.31,17.72,71.6,43,43,4.7
