City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
83,Cap Malheureux,-19.98,57.61,66.0,72,51,5.01,MU,broken clouds
84,Zapolyarnyy,69.42,30.81,62.6,67,59,10.29,RU,broken clouds
85,Norman Wells,65.28,-126.83,60.8,77,75,10.29,CA,broken clouds
86,Saint-Joseph,-21.37,55.62,64.4,77,75,5.82,RE,broken clouds
87,Lompoc,34.64,-120.46,64.4,68,47,6.93,US,scattered clouds
88,North Branch,45.51,-92.98,77.0,73,11,5.01,US,few clouds
89,Upernavik,72.79,-56.15,38.39,88,98,2.37,GL,overcast clouds
90,Mount Gambier,-37.83,140.77,41.0,86,75,5.82,AU,broken clouds
91,Yuanping,38.72,112.76,65.44,91,78,1.41,CN,broken clouds
92,Faanui,-16.48,-151.75,78.22,79,27,17.87,PF,scattered clouds
93,Schkeuditz,51.4,12.22,84.99,30,7,9.17,DE,clear sky
94,Muisne,0.6,-80.03,80.6,78,90,3.36,EC,overcast clouds
95,Marzuq,14.4,46.47,87.08,34,42,4.56,YE,scattered clouds
96,Meadow Lake,34.8,-106.54,89.01,30,20,6.15,US,few clouds
97,Ribeira Grande,38.52,-28.7,77.0,73,20,13.87,PT,few clouds
98,Maple Creek,49.92,-109.48,88.11,28,51,21.83,CA,broken clouds
99,Wawa,9.9,4.42,74.89,88,100,3.85,NG,overcast clouds
100,Vaini,-21.2,-175.2,68.0,88,75,6.93,TO,broken clouds
101,Sitka,57.05,-135.33,55.4,87,75,4.45,US,broken clouds
102,Bengkulu,-3.8,102.27,77.92,91,100,4.99,ID,overcast clouds
103,Sao Joao Da Barra,-21.64,-41.05,77.0,50,20,11.41,BR,few clouds
104,Atuona,-9.8,-139.03,78.67,72,2,20.54,PF,clear sky
105,Shu,43.6,73.76,85.39,23,6,15.03,KZ,clear sky
106,Benjamin Constant,-4.38,-70.03,78.8,83,75,5.82,BR,broken clouds
107,Waingapu,-9.66,120.26,70.65,81,8,4.65,ID,clear sky
108,Terney,45.05,136.61,61.11,90,100,17.09,RU,heavy intensity rain
109,Bowen,-20.02,148.23,69.01,94,90,1.12,AU,overcast clouds
110,Wum,6.38,10.07,63.64,98,99,2.17,CM,overcast clouds
111,Lorengau,-2.02,147.27,79.43,86,99,6.6,PG,overcast clouds
112,Rio Grande,-32.03,-52.1,87.8,33,26,9.17,BR,scattered clouds
113,Namibe,-15.2,12.15,63.05,87,28,6.44,AO,scattered clouds
114,Manzhouli,49.6,117.43,59.25,92,67,3.83,CN,broken clouds
115,Severo-Kurilsk,50.68,156.12,49.03,87,53,7.14,RU,broken clouds
116,Lewistown,40.6,-77.57,82.0,42,1,5.82,US,clear sky
117,Nyurba,63.28,118.33,56.93,67,0,3.38,RU,clear sky
118,Batemans Bay,-35.72,150.18,46.99,90,99,5.19,AU,overcast clouds
119,Guilin,25.28,110.29,78.8,94,75,3.02,CN,light rain
120,Phan Thiet,10.93,108.1,76.37,89,97,8.03,VN,light rain
121,Saldanha,-33.01,17.94,57.2,62,0,11.41,ZA,clear sky
122,Yumen,40.28,97.2,76.75,26,56,11.79,CN,broken clouds
123,Biak,-0.91,122.88,75.74,82,83,4.76,ID,broken clouds
124,Vila Franca Do Campo,37.72,-25.43,73.4,69,20,13.87,PT,few clouds
125,Sobolevo,54.43,31.9,63.0,79,0,6.4,RU,clear sky
126,Okato,-39.2,173.88,52.0,96,100,1.99,NZ,light rain
127,Pochutla,15.74,-96.47,87.01,70,90,11.41,MX,overcast clouds
128,Kirksville,40.19,-92.58,77.0,57,75,13.87,US,broken clouds
129,Vanavara,60.34,102.28,60.66,69,69,6.82,RU,broken clouds
130,Bredasdorp,-34.53,20.04,48.2,87,2,4.7,ZA,clear sky
131,Kazachinskoye,57.7,93.28,58.89,96,100,3.58,RU,overcast clouds
132,Arraial Do Cabo,-22.97,-42.03,80.6,57,0,13.87,BR,clear sky
133,Kaitangata,-46.28,169.85,44.01,82,88,4.56,NZ,overcast clouds
134,Qeshm,26.96,56.27,95.0,71,20,11.41,IR,haze
135,Kapaa,22.08,-159.32,78.8,88,90,10.29,US,overcast clouds
136,Hermanus,-34.42,19.23,46.99,89,4,3.44,ZA,clear sky
137,Lebu,-37.62,-73.65,50.32,64,23,18.92,CL,few clouds
138,Ajdabiya,30.76,20.23,84.7,43,0,12.57,LY,clear sky
